,Nc_init,M_init,Nr_init,rtype_init,dtype_init,divide_init,nlin_init,total population_init,staticdif_init,EP_init,dif_init,Cell  Volume_max_init,Cell  Volume_min_init,Cell  Volume_ave_init,Cell  Volume_var_init,Total Chemicals_max_init,Total Chemicals_min_init,Total Chemicals_ave_init,Total Chemicals_var_init,Nc_last,M_last,Nr_last,rtype_last,dtype_last,divide_last,nlin_last,total population_last,staticdif_last,EP_last,dif_last,Cell  Volume_max_last,Cell  Volume_min_last,Cell  Volume_ave_last,Cell  Volume_var_last,Total Chemicals_max_last,Total Chemicals_min_last,Total Chemicals_ave_last,Total Chemicals_var_last
20,200,500,250,random,gradient,True,True,121486.81809730735,1356.4573550904545,-227681.0171769087,229037.47453199915,623.1862124837435,586.4586481549889,607.4340904865368,39.27545671852575,387.7910811443215,99.07150609742185,242.9736361946147,6581.908889426062,200,500,250,random,gradient,True,True,121486.81809730735,4.7436321619898084e-07,128.29351218764072,-128.2935117132775,14248.077933181019,14248.077702028746,14248.077836389466,4.006883652385602e-09,579.1924645892775,536.490361072624,569.9231134555786,13.369440371223293
21,100,500,250,random,gradient,True,True,41610.636340276404,567.8811729077478,-40382.42137614245,40950.3025490502,433.11616617139407,398.50723767265936,416.10636340276403,38.39760641262851,121.49641275270952,49.354902391895266,83.2212726805528,362.7654299676195,100,500,250,random,gradient,True,True,41610.636340276404,4.090307164005935e-06,63.96449859587386,-63.9644945055667,6749.607271088202,6749.600869625627,6749.604240779818,3.63299826920605e-06,138.73115323563147,129.46321836695716,134.99208481559637,2.4743350416578975
22,500,50,40,random,gradient,True,True,16480.30649361026,4.190065134307177,-15811.192270611076,15815.382335745384,38.613682995033095,26.188921130675507,32.96061298722052,4.429522741569532,420.28221519123235,248.96786473817838,329.60612987220514,1719.11631462329,500,50,40,random,gradient,True,True,16480.30649361026,8.253542982856743e-07,3.81418962925949,-3.814188803905192,2678.1503074261823,2678.14554241224,2678.147766137059,1.3520394632891686e-06,2703.3451699666757,2625.751584670239,2678.147766137059,212.11130142079946
23,400,10,8,random,gradient,True,True,2167.856264847041,0.04250588107098804,-561.705488892382,561.747994773453,8.043941096791992,2.855284341525757,5.419640662117603,0.8451676374319844,224.0111872554637,207.1162524805856,216.78562648470415,29.064014594299323,400,10,8,random,gradient,True,True,2167.856264847041,4.019362847884622e-09,0.19989504045213125,-0.1998950364327684,324.92819912633576,324.92810980591884,324.9281478789111,4.750898110856199e-10,1319.5016978619365,1288.9037365661304,1299.7125915156444,83.38937214009273
24,200,30,3,random,gradient,True,True,3175.551959846348,0.29596708565681545,-614.8050093350746,615.1009764207314,21.416930614655104,12.39330881249137,15.877759799231738,2.269209676669821,115.11578553008846,96.79814674434736,105.85173199487825,19.058799043819704,200,30,3,random,gradient,True,True,3175.551959846348,2.2141826866572957e-07,0.588427340164733,-0.5884271187464643,556.2075933827757,556.2057257995024,556.2068961136895,2.4525360420789015e-07,379.5355023415443,364.5803213873173,370.8045974091263,16.35653686702472
25,200,500,400,random,gradient,True,True,124132.23085886695,1390.0540767015643,-237741.0343436071,239131.0884203087,636.6243107022074,603.944238538696,620.6611542943347,46.38427812425687,396.8962987861181,101.52913062672775,248.26446171773387,6983.68423309615,200,500,400,random,gradient,True,True,124132.23085886695,6.468900246545673e-07,127.26748913136879,-127.26748848447876,14739.885428307056,14739.88523209859,14739.885339360639,3.931058072345812e-09,604.289008750943,579.0459178697705,589.5954135744256,11.241003511639827
26,100,100,80,random,gradient,True,True,5595.26022487085,4.706542833862761,-1446.921841689765,1451.6283845236278,63.1409078089698,48.88934636053401,55.952602248708494,8.083818489925552,64.3431535927883,45.66089793258529,55.952602248708494,17.024622698509276,100,100,80,random,gradient,True,True,5595.26022487085,1.488172019890044e-07,2.9675683561191355,-2.9675682073019334,1148.397243976252,1148.396678983522,1148.3968775283097,2.4223831306901687e-08,120.41270939590572,106.91797847132344,114.83968775283095,5.84629205914162
27,400,50,25,random,gradient,True,True,12191.37628198732,2.8390400782438356,-7985.1840854705515,7988.023125548795,36.20696108082635,23.92157585148517,30.478440704968303,3.7597143060658826,275.93891228876953,206.78011718598623,243.8275256397464,435.92691123489715,400,50,25,random,gradient,True,True,12191.37628198732,1.7329584807157518e-07,3.001395720695173,-3.001395547399325,1871.9534113080565,1871.95264404405,1871.9530513848977,2.927703117237145e-08,1557.488447555336,1464.7259935654322,1497.5624411079182,192.7740899737942
28,200,100,10,random,gradient,True,True,12581.27548403355,11.486290704198284,-8246.05141119605,8257.537701900248,69.66431153599031,55.85603416250732,62.90637742016774,8.307164817946605,158.30761803963313,97.41276609117435,125.8127548403355,209.0754834193866,200,100,10,random,gradient,True,True,12581.27548403355,7.164313756220509e-07,5.692233704100346,-5.69223298766897,2448.997749253842,2448.994654470212,2448.9960852015643,5.000177688910761e-07,496.0601267521237,479.96369123445754,489.7992170403129,8.787927135940405
29,500,50,25,random,gradient,True,True,16400.896520642975,4.124216739465168,-15457.231442876237,15461.355659615701,38.82887663913459,25.64457877034116,32.80179304128595,4.390608014423728,403.58412926837286,258.11723476333196,328.0179304128595,1538.7147899801928,500,50,25,random,gradient,True,True,16400.896520642975,1.26356251166726e-06,4.212255995593134,-4.2122547320306225,2623.776286061563,2623.766885693492,2623.7707012865576,6.072253102746699e-06,2664.045002700949,2545.9545000644803,2623.770701286558,336.0300401964149
